Company;Position;Requirement;Description;Quota;Available;Address;
PT. Adira Dinamika Multi Finance Tbk;Systems Analyst;IPK> 3.0, good communication skill, fast learning;Melakukan analisa terhadap bisnis dan teknologi, analisa aplikasi, analisa request bisnis dan meng-in line kan dengan teknologi.;4;0;Jl. Jend. Sudirman Kav. 25, Jakarta Selatan 12920.;
PT. Adira Dinamika Multi Finance Tbk;Quality Assurance;- Memiliki kemampuan untuk data engineering  - Memiliki semangat untuk belajar dan bekerja didalam tim QA.  - Memiliki keterampilan komunikasi interpersonal yang baik.;- Menyusun dokumen BRD.  - Membantu proses CR.  - Melakuakn UAT (User Acceptance Testing).  - Membantu maintain applikasi QA & QPC.  - Mengelola sistem internal tim QA.  - Melakukan pemutakhiran akses.;1;1;Jl. Jend. Sudirman Kav. 25, Jakarta Selatan 12920.;
PT. Aims Progrez;IT Architect;Requirements:  - Able to commit to this internship for a minimum of 1 year  - Have the ability to collaborate between divisions and able to work in a team  - Excellent in communication skills, problem solving and fast learner  - Nice to have knowledge in cloud computing (AWS, GCP & Azure) and Atlassian product  - Have strong technical background and are comfortable with data, platform, and technology;Job Description  - Designing and architecting solutions to match potential customers' needs and requirements  - Create gap analysis documents for the offered solutions  - Prepare technical proposal document, including estimating the effort needed for the opportunity as part of the proposal;2;2;Citta Graha blok 2-J, Jl. Panjang No.26, RT.6/RW.1, Kedoya Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520;
PT. Anugerah Pharmindo Lestari (APL);IT Support;1. Knowledge in SAP is preferable. E.g as participant in SAP course  2. Proficiency in English;To support business analyst team, in possible area of Supply Chain/ Finance/ Human Resources, in tasks related with Problem Solving/ Change Request/ Project.;1;1;Cowell Tower 12th Floor Jalan Senen Raya No.135 Jakarta 10410 | Indonesia;
PT. Anugerah Pharmindo Lestari (APL);Data Analyst;1. Detail in data, excellence in analytical with strong relationship with cross related function  2. Good communication, Fluent in English  3. Ability to work on a team and/or independently  4. Ability to multi-task in a fast-paced, deadline-driven environment  5. Advance Word, Excel and Power Point skills;1. Understand the CHC world and stakeholders  2. Sourcing the market information  3. Identify the market & competitor analysis, follow up business opportunity and update to stakeholders  4. Define category & subcategory to align with APL's requirement  5. Create database of CHC Project (well structured)  6. Coordination with stakeholder for business insight;2;2;Cowell Tower 12th Floor Jalan Senen Raya No.135 Jakarta 10410 | Indonesia;
PT. Anugerah Pharmindo Lestari (APL);Database Specialist;1. Min. in the fifth semester  2. Min. GPA of 3,00  3. Preferably from major Finance and Accounting  4. Can use excel  5. Can use the system / application;1. Maintain branch masterlist in system (CMS ezview  2. Compile data and review branch masterlist with certain parameters.  3. Coordination with branches to maintain branch masterlist.;1;1;Cowell Tower 12th Floor Jalan Senen Raya No.135 Jakarta 10410 | Indonesia, SENEN, SENEN, JAKARTA PUSAT, DKI JAKARTA 10410;
PT. Anugerah Pharmindo Lestari (APL);Data Analyst;1. Min. in the fifth semester  2. Min. GPA of 3,00  3. Preferably from major Finance and Accounting  4. Can use excel  5. Can use the system / application;Maintain branch masterlist in system (CMS ezview), Compile data and review branch masterlist with certain parameters, Coordination with branches to maintain branch masterlist.;1;1;Cowell Tower 12th Floor Jalan Senen Raya No.135 Jakarta 10410 | Indonesia;
PT. Astra Daihatsu Motor;Security and Networking;Information Security, IT Governance, OS proficency (Linux, WinServer), Threat hunting, vulnerability analysis, red teaming activity, Computer Network  ;- IT Security Governance  - Red Teaming activities (pentest, vulnerability assessment, threat hunting)  - Blue Teaming activities (system hardening, Configuration audit)  - Incident response plan + user awareness;1;0;Astra Daihatsu Motor Head Office Pt., Jl. Gaya Motor III No. 5;
PT. Astra Daihatsu Motor;Machine Learning Dev.;1. Python (Machine Learning & Flask for Web)  2. SQL Query  3. IT Governance  4. Data Analytics;- Big Data  - Machine Learning  - Web Scrapping & Crawling (Python Flask)  - Manage and analyze IT compliance activities  - Develop design compliance for BigData  - Develop project for budgeting in BigData;2;0;Astra Daihatsu Motor Head Office Pt., Jl. Gaya Motor III No. 5;
PT. Astra Daihatsu Motor;Data Analyst;-;Machine Learning  - Big Data  - Machine Learning  - Web Scrapping & Crawling (Python Flask)    IPro  - System Design / Architecture  - OT   - Business Process / Business Analyst    Data Analyst  - Manage and analyze IT compliance activities  - Develop design compliance for BigData  - Develop project for budgeting in BigData;4;4;Jl. Gaya Motor III/5, Sunter II Jakarta Utara DKI Jakarta 14330 Indonesia.;
PT. Astra Daihatsu Motor;IT Support;SQL, System Analysis, SAP (Optional), PHP;Support operation (problem and request). Review, analyze, make recommendation on improvement opportunities relate to operation Adm;1;0;Astra Daihatsu Motor Head Office Pt., Jl. Gaya Motor III No. 5;
PT. Astra Daihatsu Motor;Systems Analyst;SQL, System Analysis, SAP (Optional), PHP;Job Position : IT Support  Support operation (problem and request). Review, analyze, make recommendation on improvement opportunities relate to operation Adm;1;0;Astra Daihatsu Motor Head Office Pt., Jl. Gaya Motor III No. 5;
PT. Astra Daihatsu Motor;System Engineer;Project Management, SDLC, SQL, System Analyst, Good Communication Skill), Basic Reporting on Microsoft Office, knowledge about IT and OT, PLC, Microcontroller  .net php;IT System Development  - Manage administration project & reporting  - Maintain strong communication with users & vedndor  - Discuss & get involved in IoT & Digitalization projects  - System analyst  - Gather user requirement  - Support after go live project;3;0;Astra Daihatsu Motor Head Office Pt., Jl. Gaya Motor III No. 5;
PT. Astra Graphia Information Technology (AGIT);Network Administrator;Knowledge in operating systems, such as Windows Server, Linux, Monitoring Tools, and Infrastructure IT Tools  Knowledge in one of IT Infrastructure technology system and Concept.  Knowledge in TCP/IP network traffic and event log analysis;1. Assist in Research and Documenting NOC for All Monitoring Tools.  2. Work with infrastructure team for Remote Desktop Activity and Infrastructure Monitoring.  3. Learn with Infra Team, Understand installation, configuration, maintenance, documentation, and upgrades of IT systems infrastructures (i.e., servers, routers, switches, firewalls, access points, etc.).  4. Assist the infrastructure team in developing companywide IT Infrastructure best practice.;2;2;PT Astra Graphia Information Technology KEM Tower - Jl. Landas Pacu Barat No.2, RW.10, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610;
PT. Astra Graphia Information Technology (AGIT);Application Developer;Good Knowledge of OOP Programming, Web Services, SQL Query and HTML,CSS, Javascript;In Charge of Development for Form, Report, Interface & Workflow;6;0;PT Astra Graphia Information Technology KEM Tower - Jl. Landas Pacu Barat No.2, RW.10, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610;
PT Astra International Tbk – AstraWorld;Data Scientist;- Knowledge in data mining, business intelligent, analysis tools, and marketing research  - Familiar in CRM databases, Statistic Tools (R, SAS, etc), SQL, BI Tools (Power BI, Tableau, Microstrategy, etc), Ms Office Tools, and Python  - Great interpersonal and communication skill  - Team player;- Produce charts, tables, and graphs to support clients reporting requirement  - Analyze and interpret data to develop and implement predictive models  - Lead the establishment of a predictive analytics capability;1;0;Jl. Gaya Motor 1 No. 10;
PT Astra International Tbk – AstraWorld;Data Engineer;- Understand in database system concept and operation  - Familiar in CRM databases (structure, semi structure, and unstructure database) such as Oracle, Ms SQL Server, MySQL, IBM DB2, Mongo DB, etc  - Great interpersonal and communication skill  - Team player;- Maintain database AstraWorld  - Troubleshooting error job SQL server  - Gather requirement new project  - Development database;1;0;Jl. Gaya Motor 1 No. 10;
PT Astra International Tbk – AstraWorld;Software Engineer;- Understand in programming structure, database structure, and SQL query  - Have knowledge of PHP, Java Script, HTML use frame work  - Great interpersonal and communication skill;- Application development  - Requirement gathering & analysis of user requirement  - System integration test & user acceptance test  - Tester & trainer  - Bug fixing;2;1;Jl. Gaya Motor 1 No. 10;
PT. Asuransi Astra Buana;QC Tester;Deep analytical thinking skill  Excellent problem solving skill  Attention to detail  Great communication & presentation skills;1. Menyusun dan melakukan review terhadap testing plan dan test script untuk memastikan testing sesuai dengan BRD  2. Melakukan testing untuk memastikan aplikasi berjalan sesuai dengan yang diharapkan.  3. Membuat laporan hasil testing aplikasi sebagai umpan balik untuk tim IT Development dalam perbaikan aplikasi.  4. Melakukan User Acceptance Testing (UAT)  5. Membuat QC Environment dan melakukan migrasi ke QC Environment sebagai persiapan testing.  6. Melakukan Integration Test bersama dengan business partner  7. Membuat dokumentasi User Manual  8. Pengecekan terhadap Migration Plan  9. Analisa terhadap quality perubahan yang dilakukan oleh tim development  10. Melakukan koordinasi terhadap tim Business Alignment dan tim Development.;10;2;Jl. TB Simatupang Kav 15, Cilandak, Lebak Bulus, Jakarta Selatan 12440;
PT. Asuransi Astra Buana;IT Support;Deep analytical thinking skill  Excellent problem solving skill  Attention to detail  Great communication & presentation skills;1. Menyusun dan melakukan review terhadap testing plan dan test script untuk memastikan testing sesuai dengan BRD  2. Melakukan testing untuk memastikan aplikasi berjalan sesuai dengan yang diharapkan.  3. Membuat laporan hasil testing aplikasi sebagai umpan balik untuk tim IT Development dalam perbaikan aplikasi.  4. Melakukan User Acceptance Testing (UAT)  5. Membuat QC Environment dan melakukan migrasi ke QC Environment sebagai persiapan testing.  6. Melakukan Integration Test bersama dengan business partner  7. Membuat dokumentasi User Manual  8. Pengecekan terhadap Migration Plan  9. Analisa terhadap quality perubahan yang dilakukan oleh tim development  10. Melakukan koordinasi terhadap tim Business Alignment dan tim Development.;10;10;Jl. TB Simatupang Kav 15, Cilandak, Lebak Bulus, Jakarta Selatan 12440;
PT. Asuransi Astra Buana;Data Scientist;Currently pursuing bachelor's degree from mathematics/ statistics major  Deep understanding about validity, reliability & regression test  Familiar with statistics analytics  Familiar with predictive model analysis  Strong analytical and planning skills  Excellent problem-solving skills  Research experience on predictive model would be a plus point  Familiar with Machine Learning would be a plus point;As a data scientist intern, you'll be working with us directly to create a predictive model project using Machine Learning, to help us find the best predictive to support our business.    If you are the person who speaks and acts by data, this project surely for you.;2;2;Jl. TB simatupang Kav 15, Cilandak, Lebak Bulus, Jakarta Selatan, 12440;
PT. Asuransi Astra Buana;Application Developer;Deep Understanding with Object Oriented Concepts  Strong programming background and familiarity with HTML, CSS, C#, .NET Framework  Experienced in React.JS  Experienced working with remote data via REST and JSON  Familiar with Querying Database (MS Sql Server / MySQL)  Knowing CI/CD Tools is a plus  Passionate and self-motivated, with strong interpersonal skills;1. Merancang program aplikasi sesuai dengan spesifikasi yang telah dibuat oleh user (Business Requirement Definition Document).  2. Membuat Program Aplikasi - Bersama dengan tim membuat program sesuai dengan spesifikasi teknis yang telah dibuat.  3. Menguji Program Aplikasi, Melakukan pengujian/tes atas program yang telah dibuat agar menghasilkan input, proses dan output sesuai yang diharapkan.  4. Memperbaiki Program Aplikasi Melakukan investigasi dan perbaikan program yang dibuat atas kesalahan yang ditemukan  5. Membuat Instalasi    .NET dan React;10;4;Jl. TB Simatupang Kav 15, Cilandak, Lebak Bulus, Jakarta Selatan 12440;
PT. ATNetwork;Cyber Intelligence Officer;-;Setup, configure and troubleshoot parts of the stack  Solve major operational issues  Participate in an on-call rotation;1;1;Gold Coast Office, PIK, KAMAL MUARA, PENJARINGAN, JAKARTA UTARA, DKI JAKARTA 14470;
PT. ATNetwork;Search Engine Optimization;Have a personal blog is a plus  Proficiency in English  Familiar with digital marketing  Have a passion in content writting, especially about tour and travel  Familiar with CMS (wordpress) is preferable;Write SEO copy  Optimize current copy on airpaz website  Write and post in company's blog  Conduct keyword research  Ability to analyze content marketing strategy;1;1;Gold Coast Office, PIK;
PT. ATNetwork;Quality Assurance;Interest with web and apps based aplications  Familiar with Javascript & APIs;Identify, record, document thoroughly and track bugs  Review requirements, specifications and technical design documents to provide timely and meaningful feedback  Create detailed, comprehensive and well-structured test plans and test cases  Design, develop and execute automation scripts using open source tools  Perform thorough regression testing when bugs are resolved  Develop and apply testing processes for new and existing products to meet client needs;1;0;Gold Coast Office, PIK;
PT. ATNetwork;Systems Analyst;Familiar with SDLC  Solid Knowledge in Data Structure  Strong Analytical Skills  Super Logic & Pattern Recognition  Fluent in English  Willing to be placed in North Jakarta;Conduct business and user requirement analysis and gain in-depth knowledge of business process  Coordinate with business user & programmer team in development project  Create System Flow, Business Flow, Program Flow & Logic Code  Develop application for designing document and project : UI, Business Process Flow (Flowchart, ERD, Class, SSD, Use-case, etc);1;1;Gold Coast Office, PIK;
PT. ATNetwork;Back End Developer;- Must be from computer science/ IT major  - Experienced in database SQL  - Experienced with PHP programming language & frameworks, such as Laravel  - Have knowledge and experience in building web apps using modern HTML5, CSS, JS  - At least understanding Linux operating system;Design, develop, and integrate backend service with 3rd party APIs  Monitor and fix bugs  Develop & maintain CMS enterprise portal;2;1;Gold Coast Office, PIK;
PT. ATNetwork;Development and Operations (DevOps) Engineer;Familiar with cloud environments.  Good English Language  Able to Create a Readable Documentation  Understanding of Linux OS are preferred.;- Understand how computer and the web works  - At ease with Linux console tools and scripts  - Familiarity with AWS or other cloud based services is a plus  - Setup, configure and troubleshoot across parts of the stack  - Solve majority operational issues  - Participate in an on-call rotation;1;0;Gold Coast Office, PIK;
PT. Bank BTPN., Tbk.,;Data Analyst;- Mastering the programming language for developing Power FX based applications (across Microsoft Power Platform)  - Mastering SQL Query, especially MS SQL Server  - Able to create ETL (from DB to DB) between MS SQL Server or other DB Servers  - Mastering the concepts of data structures and programming  - Experienced in migrating data (either using SQL Server or others)  - Understand advanced queries such as SQL Server Stored Procedures, etc.  - Good communication skill;IDEAS (Interns Development, Enhancement and Acceleration Space) is Bank BTPN Internship Program that will help you gain fundamental knowledge and experience in dealing with a real-life problem, solving it, and creating an even bigger positive outcome from it.    Your responsibilities will be:  - Collaborate with the Audit Methodology, QA & Development team in database mapping and data migration from the AMS (Audit Management System) application to Internal Audit DataMart  - Coordinate with the IT team regarding ETL projects from Data Warehouse to Internal Audit DataMart  - Conduct research and development of the Internal Audit One Stop Service application based on PowerApps and PowerAutomate from Microsoft Power Platform;1;1;Menara BTPN;
PT. Bank Central Asia, Tbk;Application Developer;- Memiliki pengetahuan pemrograman menggunakan Java, Javaspring, SQL, Python, Javascript, HTML CSS, ReactJS, Typescript, dsb  - Memiliki pengalaman mengembangkan aplikasi berbasis Web/mobile.;Mohon mengisi link berikut untuk data lebih lanjut yang dibutuhkan BCA. Tanpa mengisi link ini, aplikasi magang tidak akan diproses BCA. https://bit.ly/internshipBCA2024    - Melakukan eksplorasi (RnD) teknologi,  - Mengembangkan aplikasi berbasis web/mobile,   - Mensupport unit kerja dalam pengembangant, delivery, migrasi dan testing aplikasi.;1;0;Menara BCA/Wisma BCA Foresta/Wisma Asia;
PT. Bank Central Asia, Tbk;Application Developer;- Memiliki pengetahuan pemrograman menggunakan Java, Javaspring, SQL, Python, Javascript, HTML CSS, ReactJS, Typescript, dsb  - Memiliki pengalaman mengembangkan aplikasi berbasis Web/mobile.;Mohon mengisi link berikut untuk data lebih lanjut yang dibutuhkan BCA. Tanpa mengisi link ini, aplikasi magang tidak akan diproses BCA. https://bit.ly/internshipBCA2024    - Melakukan eksplorasi (RnD) teknologi,  - Mengembangkan aplikasi berbasis web/mobile,   - Mensupport unit kerja dalam pengembangant, delivery, migrasi dan testing aplikasi.;39;0;Menara BCA/Wisma BCA Foresta/Wisma Asia;
PT. Bank Central Asia, Tbk;Data Engineer;Mohon mengisi link berikut untuk data lebih lanjut yang dibutuhkan BCA. Tanpa mengisi link ini, aplikasi magang tidak akan diproses BCA. https://bit.ly/internshipBCA2024    - Memiliki pengetahuan mengenai pengembangan aplikasi berbasis mobile (Android/iOS) web  - Menguasai minimal 1 bahasa pemrograman Python, R, Java, atau bahasa serupa  - Memiliki pengetahuan database seperti SQL dan Oracle;Mohon mengisi link berikut untuk data lebih lanjut yang dibutuhkan BCA. Tanpa mengisi link ini, aplikasi magang tidak akan diproses BCA. https://bit.ly/internshipBCA2024    Support pengelolaan data (mengumpulkan, mengurutkan dan membersihkan data) yang dapat digunakan untuk otomasi pemrosesan data dan mengembangkan model prediktif untuk membuat data lebih mudah dibaca oleh user.    ;2;0;Jakarta/Tangerang;
PT. Bank Central Asia, Tbk;Data Engineer;Mohon mengisi link berikut untuk data lebih lanjut yang dibutuhkan BCA. Tanpa mengisi link ini, aplikasi magang tidak akan diproses BCA. https://bit.ly/internshipBCA2024    - Memiliki pengetahuan mengenai pengembangan aplikasi berbasis mobile (Android/iOS) web  - Menguasai minimal 1 bahasa pemrograman Python, R, Java, atau bahasa serupa  - Memiliki pengetahuan database seperti SQL dan Oracle;Mohon mengisi link berikut untuk data lebih lanjut yang dibutuhkan BCA. Tanpa mengisi link ini, aplikasi magang tidak akan diproses BCA. https://bit.ly/internshipBCA2024    Support pengelolaan data (mengumpulkan, mengurutkan dan membersihkan data) yang dapat digunakan untuk otomasi pemrosesan data dan mengembangkan model prediktif untuk membuat data lebih mudah dibaca oleh user.    ;3;1;Jakarta/Tangerang;
PT. Bank Central Asia, Tbk;Network Designer;- Familiar dengan operating system Linux,  - Memiliki pengetahuan dasar networking,  - Memiliki pemahaman dalam PHP, XML Programming, JSON, dan Python,  - Memiliki pemahaman konsep Database,  - Dapat melakukan routing dan switching.;Mohon mengisi link berikut untuk data lebih lanjut yang dibutuhkan BCA. Tanpa mengisi link ini, aplikasi magang tidak akan diproses BCA. https://bit.ly/internshipBCA2024    - Melakukan support dalam pengembangan automation configuration network,  - Melakukan pengembangan programming monitoring dan alert,  - Membantu daily support development.;3;3;Menara BCA / Wisma BCA Foresta;
PT. Bank CIMB Niaga, Tbk;IT Developer;-;PINTER (Program INTernship for IT DevelopER) dari CIMB Niaga;100;53;Jl. Wahid Hasyim No.3, Pd. Jaya, Kec. Pd. Aren, Kota Tangerang, Banten 15224;
PT. Bank CIMB Niaga, Tbk;UI/UX Designer;Pengembangan UI/UX Sistem Human Resources (Kampus Merdeka Batch 6 di CIMB Niaga)    1. Mahasiswa perguruan tinggi aktif yang menempuh minimum semester 6  2. Jurusan Teknik Informatika, Sistem  Informasi, dan sejenisnya  3. IPK minimum 3.25  4. Sehat jasmani dan rohani  5. Jurusan Teknik Informatika, Sistem  Informasi, Teknik Industri, Manajemen, Psikologi, dan sejenisnya  6. Memiliki keterampilan/kemampuan yang baik dalam:  a. Microsoft Office (terutama Excel & PowerPoint)  b. Merancang desain aplikasi (UI/UX) dengan menggunakan aplikasi Figma atau sejenis  c. Analisa proses bisnis  d. Komunikasi secara verbal maupun tulisan  e. Berpikir kritis dan memiliki inisiatif tinggi;Mahasiwa akan dilibatkan di dalam Project Arjuna (Aplikasi Penunjang Kerja), yaitu  sistem Human Resources yang mencakup segala aktivitas/proses terkait kepegawaian di Bank CIMB Niaga, dengan cakupan pekerjaan sebagai berikut:  1. Melakukan pemetaan atas fitur-fitur dan alur proses yang perlu dikembangkan  2. Menyusun rancangan awal atas proses kerja dari setiap fitur yang akan dikembangkan  3. Menyiapkan dokumen yang dibutuhkan dalam proses penyusunan fitur  4. Merancang desain UI/ UX untuk aplikasi HR;6;6;Jakarta Selatan;
Bank Indonesia (BI);Data Analyst;-;Menganalisis dan membuat visualisasi data-data internal dengan tujuan membantu sebuah perusahaan dalam membuat keputusan.    Tools yang digunakan: Microsoft Excel, Python, SQL, Data Mining.   ;1;1;Jl. Engku Putri No.1, Tlk. Tering, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29432;
PT. Bank Mayapada International, Tbk;Systems Analyst;Ms Office Package;- Pengembangan aplikasi perbankan  - Internet banking;4;0;Mayapada tower 2, Jl. Jend. Sudirman Kav. 27;
PT. Bank Mayapada International, Tbk;Quality Assurance;Ms Office Package;- UAT Testing  - Dokumentasi hasil testing  - Perbaikan bugs  - Design UI/UX  - Business flow  - Pembuatan SOP;4;0;Mayapada tower 2, Jl. Jend. Sudirman Kav. 27;
PT Bank Hibank Indonesia;Application Developer;Proficient in C#, SQL, HTML, JavaScript. Know about Go Language is better;Create application especially back office & middleware;6;5;Jl. Tomang Raya No.Kav.21-23, RT.1/RW.1;
PT Bank Hibank Indonesia;Data Analyst;Macro excel VBA  Data analyze  Presentation design skill (minor);Developing macro excel program (VBA), Ensure data accuracy, system security, and seamless user experience, Generate reports and analyze HR data to support decission making, identify trends and insights.;1;0;Jl. Tomang Raya No.Kav.21-23, RT.1/RW.1;
PT. Bank Sinarmas, Tbk;Business Intelligence Analyst;- Fast learner,Adaptive person,Agile, Strong Logical Thinking  - SQL Programming (SQL Server/Oracle/Hive Bigdata)  - Phyton Programming  - Reporting & BI Tools (tableau, power BI, google analytics, dll);Business Intelligence;2;2;Roxy Square;
PT. Bank Sinarmas, Tbk;Development and Operations (DevOps) Engineer;1. Critical, logical, and proactive.  2. Proficiency to use Google Suite and MS Office.  3. Having knowledge on the project management framework (agile, waterfall, LESS, etc).  4. Great English proficiency.  5. Great communication skill (verbal and written).;Change Control, DevOps:  Mengontrol semua aspek perubahan yang terkait dengan konfigurasi dan infrastruktur yang berhubungan dengan aplikasi dan sistem di Bank Sinarmas;1;1;Roxy Square;
PT. Bank Sinarmas, Tbk;Development and Operations (DevOps) Engineer;1. Critical thinking  2. Good communication skills  3. Go-lang / React (optional but preferable);Core Services & Capabilities:  Consumer loan, micro/retail/corporate loan, core loan;3;3;Roxy Square;
PT. Bank Sinarmas, Tbk;Quality Assurance;1. Critical, logical, and proactive.  2. Proficiency to use Google Suite and MS Office.  3. Having knowledge on the project management framework (agile, waterfall, LESS, etc).  4. Great English proficiency.  5. Great communication skill (verbal and written).;Software Quality Assurance;3;3;Roxy Square;
PT. Bank Sinarmas, Tbk;Software Engineer;1. Critical thinking  2. Good communication skills  3. Software engineering  JAVA;Corporate & Sharia;3;3;Roxy Square;
PT. Bank Sinarmas, Tbk;Quality Assurance;- IPK minimal 3.0  - Lulusan Sistem informasi  - Fast learner,Adaptive person,Agile,Strong Communication  - SQL Programming (SQL Server/Oracle/Hive Bigdata)  - Data Management & Data Governance Knowledge;Digital Product Management;4;4;Roxy Square;
PT. Bank Sinarmas, Tbk;Data Analyst;1. Highly initiative and proactive  2. Excellent communication skill  3. Business process understanding and analytical thinking  4. Highly motivated to learn, research and explore new subjects   5. Familiar either with Risk Management or IT related Standards, Frameworks, & Regulations   6. Detail oriented and excellent in writing IT documentations  7. Proficient in English (reading and writing);Enterprise Data Governance 1  1) Privacy Impact Assessment (PIA) & Privacy Risk Mitigation Monitoring  2) Privacy Governance Development (such as Procedure, Operating Manual)  3) Privacy Training & Awareness Program;1;1;Roxy Square;
PT. Bank Sinarmas, Tbk;Data Analyst;Non Tech :  1. Good communication and presentation skill  2. Good analytical skill and business process understanding  3. Attention to detail  4. Willing to learn and understand Data Management    Tech :  1. Familiar with SQL   2. Proficient in Ms. Excel, PowerPoint, & Word  3. Proficient in english (reading & writing);Enterprise Data Governance 2;1;0;Roxy Square;
PT. Bank Sinarmas, Tbk;Data Analyst;Requirement:  - Fast learner,Adaptive person,Agile,Strong Logical Thinking  - SQL Programming (SQL Server/Oracle/Hive Bigdata)  - ETL Tools (Pentaho/SSIS/ODI/Talend)  - Data Management Knowledge;Enterprise Data Management & Data Governance;4;4;Roxy Square;
PT. Bank Sinarmas, Tbk;Application Developer;1. Logical thinking  2. Good communication skills  3. Knowledge in ReactJS is a plus point;Customer & Customer Enablement : Sistem yang akan digunakan untuk proses onboarding semua produk di Bank Sinarmas, dan sistem reward yang akan digunakan untuk pemberian reward ke customer seperti Cashback, Diskon, Loyalty Point, dsb;3;2;Roxy Square;
PT. Bank UOB Indonesia;Programmer;- GPA ? 3.30   - Degree in any major   - Proactive and initiative   - Fluent in English spoken & written   - Willing to WFO  ;- Developing applications  - Maintaining existing systems ;2;2;UOB Plaza, Jl. M. H. Thamrin No. 10 ;
PT. Bank UOB Indonesia;Programmer;- GPA ? 3.30   - Degree in any major   - Proactive and initiative   - Fluent in English spoken & written   - Willing to WFO  ;- Developing applications  - Maintaining existing systems ;2;2;UOB Plaza, Jl. M. H. Thamrin No. 10 ;
PT. BCA Finance;IT Support;Memiliki kemampuan mikrotik atau cisco switch;- Security and networking  - Handle anti virus  - Configure network devices  - Configure server dan troubleshooting;2;1;Wisma BCA Pondok Indah, Jl. Metro Pondok Indah No.10;
PT. BCA Finance;QC Tester;- Memiliki pengetahuan terkait database dan dasar pemrograman  - Memiliki kemampuan analisa yang baik;- Memonitor availability aplikasi  - Memonitor proses batch  - Memonitor pelaksanaan kegiatan operasional dan memberikan dukungan terkait dengan penyelesaian atau pencegahan gangguan  - Pengembangan Reporting System   - Testing dan QA hasil pengembangan aplikasi Core  - Dokumentasi aplikasi dan database;4;4;Wisma BCA Pondok Indah, Jl. Metro Pondok Indah No.10;
PT. BCA Finance;Application Developer;Job Requirement:  - Familiar dengan bahas pemograman PHP/ Java/ .NET.  - Basic programming / scripting (Java , Python, lebih diutamakan).  - Memiliki pengalaman testing aplikasi.  - Familiar dalam pembuat test case aplikasi.  - Familiar dengan tools : Katalon, Uipath, Selenium, Postman;Job Description:  - Pengembangan  &  implementasi sistem aplikasi mobile dan web yang diperlukan untuk menjalankan aktivitas perusahaan  - pengecekan kualitas dari aplikasi mobile dan web yang telah dikembangkan;4;4;Wisma BCA Pondok Indah. Jl. Metro Pondok Indah;
PT. BCA Finance;Data Analyst;• Strong interest in Business Analytics, data scientist, or data analyst  • Knowledge of MS Office Skills (especially MS Excel, MS Power point, MS Access)  • Data Visualization Skill   • Analytical skills   • Comfortable working with large numbers/data sets  • Basic Knowledge coding  ;- Membuat relational masing-masing table dalam database (Primary dan foreign key)   - Menyediakan data sesuai kebutuhan pelaporan dan analisis   - Penerapan konsep data warehouse dalam daily operational   - Membuat & mengembangkan library data warehouse ;4;0;Wisma BCA Pondok Indah, Jl. Metro Pondok Indah No.10;
PT. Panji Edukasi Nusantara (Apple Developer Academy @BINUS);Apple Academy Program (Dedicated for APPLE Inc.,);- Kandidat merupakan student Binus 3+1;- Bersedia untuk ikut serta dalam program pelatihan (Beasiswa-Magang) selama 10 bulan, dari Februari hingga Desember;100;6;Green Office Park 9, BSD, Serpong;
PT. Boon Software;Functional Consultant;1. Strong analytical and problem-solving skill  2.     Excellent communication and interpersonal abilities.  3. Good spoken and written English;Make solutions presentation  Conduct Systems implementation start from requirement gathering until System Go-Live  Project planning, scheduling, monitoring, and reporting activities .  Coordinate with internal technical team members to ensure project smoothness  Provide consultation solutions to clients  Provide post-implementation system supports  Develop project control and reporting procedures and manages changes in operational plan.  Produce appropriate project documentation.;2;2;AKR Tower Lt.12 B Jl. Panjang No.5 Kebon Jeruk;
PT. Boon Software;Web Developer;-;1. Develop new web application.  2. Enhance, document and support existing application;1;1;AKR Tower 12B Floor Jl. Panjang No.5, Kebon Jeruk Jakarta Barat;
PT. Boon Software;Web Developer;1. Familiarity with various operating systems, databases, and programming languages  2. Good knowledge and understanding of Web applications is an advantage  3. Strong analytical and problem-solving skill   4. Excellent communication and interpersonal abilities.   5. Good spoken and written English;1. Develop new web application.  2. Enhance, document and support existing application;2;1;AKR Tower 12B Floor Jl. Panjang No.5, Kebon Jeruk Jakarta Barat;
PT. Boon Software;Web Developer;1. Proficiency in troubleshooting and resolving software application issues.  2. Strong analytical and problem-solving skills.  3. Familiarity with various operating systems, databases, and programming languages.  4. Ability to work independently and collaboratively in a team environment.  5. Good knowledge and understanding of Web applications is an advantage.  6. Excellent communication and interpersonal abilities.  7. Good spoken and written English;1. Provide troubleshooting and providing solutions to technical issues.  2. Investigate and analyze recurring or critical issues to identify their root causes  3.     Monitor system alerts and notifications to proactively identify potential issues or service disruptions;2;2;AKR Tower 12B Floor Jl. Panjang No.5, Kebon Jeruk Jakarta Barat;
